Modelo,Defectos,Estandar,Fecha/Hora,Falta de soldadura,Exceso de soldadura,Cortos,Comp. dañado,Falta de conector,Conector levantado,Comp. levantado,Bola de soldadura,Pin largo,Exceso de goma,Pin plastico derretido,Esfera de soldadura,PCB Quemada,Solder Mask levantado,PCB Ampollada,Efecto lapida
Lion Mite,0,20,22/07/2026 12:06:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 12:06:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 12:06:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 12:06:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 12:06:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 12:06:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,6,12,22/07/2026 12:54:23,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 12:54:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 12:54:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,27,20,22/07/2026 13:20:31,1,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,22/07/2026 13:20:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,0,12,22/07/2026 13:21:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,13,20,23/07/2026 09:09:36,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:09:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:10:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:10:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:10:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:10:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:10:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:10:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:10:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:10:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:10:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:10:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:10:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:10:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:10:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:10:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:10:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:10:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:10:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 09:10:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 14:08:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,0,20,23/07/2026 14:08:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,1,20,23/07/2026 14:09:07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUTER,0,10,24/07/2026 11:27:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,5,20,24/07/2026 11:27:26,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Lion Mite,6,20,24/07/2026 11:27:45,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
INHEMETER,1,12,24/07/2026 11:28:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lion Mite,3,20,24/07/2026 14:20:55,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
